polyid,fireid,cen_lon,cen_lat,acq_date_lst,area_sqkm,v_lct,f_lct,v_tree,v_herb,v_bare,v_regnum
30,6,-110.948349608133,33.8373588503389,2016-05-31,1.0813291203413,9,0.657142857142857,34.5714285714286,56.7142857142857,9.17142857142857,1
31,6,-110.946895595758,33.8285322460495,2016-05-31,1.07500143619668,8,0.435897435897436,39.7179487179487,54.4358974358974,6.51282051282051,1
32,18,-109.114143934517,31.8707385772397,2016-05-31,1.1585665970872,10,0.842105263157895,6,47.7105263157895,46.8684210526316,1
33,18,-109.125256023464,31.8697614247698,2016-05-31,1.1585766704464,10,0.952380952380952,4.61904761904762,47.3809523809524,48.5238095238095,1
34,38,-111.38033777384,34.735435847142,2016-05-31,1.08127585733581,9,0.648648648648649,31.6486486486486,55.5405405405405,13.4054054054054,1
35,38,-111.390962177418,34.7344641553445,2016-05-31,1.08128273016357,8,0.5,37.7894736842105,52.3947368421053,10.4736842105263,1
36,1,-109.4693,26.9107,2016-05-31,0.998269305351257,12,1,8.63333333333333,74.3666666666667,17.6666666666667,2
37,2,-111.6038,28.9984,2016-05-31,0.998673205126762,10,0.583333333333333,0.027777777777778,24.7777777777778,75.75,2
38,17,-115.4162,32.463,2016-05-31,0.999384557097435,16,1,0,7.23333333333333,93.1333333333333,2
39,24,-111.2154,31.4345,2016-05-31,0.999168494569778,7,1,12.2333333333333,60.6,27.6666666666667,1
40,40,-111.5821,34.975,2016-05-31,0.999927390124321,9,0.666666666666667,33.5952380952381,56.2619047619048,10.5714285714286,1
